Date,Fund Value
2019-01-16 00:00:00,2.8892
2019-02-08 00:00:00,2.9209
2019-02-07 00:00:00,2.9174
2019-02-06 00:00:00,2.9158
2019-02-04 00:00:00,2.9073
2019-02-01 00:00:00,2.9072
2019-01-31 00:00:00,2.9050
2019-01-30 00:00:00,2.9013
2019-01-29 00:00:00,2.8999
2019-01-28 00:00:00,2.8994
2019-01-25 00:00:00,2.8982
2019-01-24 00:00:00,2.8968
2019-01-23 00:00:00,2.8949
2019-01-22 00:00:00,2.8942
2019-01-21 00:00:00,2.8916
2019-01-18 00:00:00,2.8913
2019-01-17 00:00:00,2.8912
2019-01-15 00:00:00,2.8884
2019-01-14 00:00:00,2.8843
2019-01-11 00:00:00,2.8832
2019-01-10 00:00:00,2.8775
2019-01-09 00:00:00,2.8763
2019-01-08 00:00:00,2.8757
2019-01-07 00:00:00,2.8760
2019-01-04 00:00:00,2.8745
2019-01-03 00:00:00,2.8735
2019-01-02 00:00:00,2.8732
2018-12-27 00:00:00,2.8716
2018-12-26 00:00:00,2.8727
2018-12-21 00:00:00,2.8676
2018-12-20 00:00:00,2.8678
2018-12-19 00:00:00,2.8673
2018-12-14 00:00:00,2.8708
2018-12-13 00:00:00,2.8700
2018-12-12 00:00:00,2.8700
2018-12-11 00:00:00,2.8706
2018-12-10 00:00:00,2.8701
2018-12-07 00:00:00,2.8698
2019-04-26 00:00:00,2.9752
2019-04-25 00:00:00,2.9756
2019-04-24 00:00:00,2.9708
2019-04-23 00:00:00,2.9612
2019-04-22 00:00:00,2.9663
2019-04-17 00:00:00,2.9598
2019-04-16 00:00:00,2.9650
2019-04-15 00:00:00,2.9645
2019-04-12 00:00:00,2.9739
2019-04-11 00:00:00,2.9771
2019-04-10 00:00:00,2.9750
2019-04-08 00:00:00,2.9761
2019-04-05 00:00:00,2.9721
2019-04-04 00:00:00,2.9728
2019-04-03 00:00:00,2.9725
2019-04-02 00:00:00,2.9778
2019-04-01 00:00:00,2.9761
2019-03-29 00:00:00,2.9784
2019-03-28 00:00:00,2.9796
2019-03-27 00:00:00,2.9733
