Date,Fund Value
2019-01-16 00:00:00,3.4417
2019-02-08 00:00:00,3.5360
2019-02-07 00:00:00,3.5587
2019-02-06 00:00:00,3.5592
2019-02-04 00:00:00,3.5362
2019-02-01 00:00:00,3.5336
2019-01-31 00:00:00,3.5000
2019-01-30 00:00:00,3.4845
2019-01-29 00:00:00,3.4836
2019-01-28 00:00:00,3.4985
2019-01-25 00:00:00,3.4735
2019-01-24 00:00:00,3.4717
2019-01-23 00:00:00,3.4759
2019-01-22 00:00:00,3.4846
2019-01-21 00:00:00,3.4825
2019-01-18 00:00:00,3.4568
2019-01-17 00:00:00,3.4515
2019-01-15 00:00:00,3.4232
2019-01-14 00:00:00,3.4348
2019-01-11 00:00:00,3.4335
2019-01-10 00:00:00,3.4297
2019-01-09 00:00:00,3.4074
2019-01-08 00:00:00,3.3830
2019-01-07 00:00:00,3.3506
2019-01-04 00:00:00,3.3212
2019-01-03 00:00:00,3.3331
2019-01-02 00:00:00,3.3523
2018-12-27 00:00:00,3.2960
2018-12-26 00:00:00,3.2962
2018-12-21 00:00:00,3.3344
2018-12-20 00:00:00,3.3793
2018-12-19 00:00:00,3.3742
2018-12-14 00:00:00,3.4520
2018-12-13 00:00:00,3.4577
2018-12-12 00:00:00,3.4368
2018-12-11 00:00:00,3.4198
2018-12-10 00:00:00,3.4563
2018-12-07 00:00:00,3.4473
2019-04-26 00:00:00,3.7267
2019-04-25 00:00:00,3.7304
2019-04-24 00:00:00,3.7264
2019-04-23 00:00:00,3.7089
2019-04-22 00:00:00,3.7092
2019-04-17 00:00:00,3.7191
2019-04-16 00:00:00,3.7180
2019-04-15 00:00:00,3.7155
2019-04-12 00:00:00,3.7059
2019-04-11 00:00:00,3.7050
2019-04-10 00:00:00,3.7025
2019-04-08 00:00:00,3.6982
2019-04-05 00:00:00,3.6943
2019-04-04 00:00:00,3.6991
2019-04-03 00:00:00,3.6840
2019-04-02 00:00:00,3.6745
2019-04-01 00:00:00,3.6579
2019-03-29 00:00:00,3.6414
2019-03-28 00:00:00,3.6388
2019-03-27 00:00:00,3.6483
2019-03-26 00:00:00,3.6313
2019-03-25 00:00:00,3.6463
2019-03-22 00:00:00,3.6690
2019-03-21 00:00:00,3.6573
2019-03-20 00:00:00,3.6647
2019-03-19 00:00:00,3.6551
2019-03-18 00:00:00,3.6459
2019-03-15 00:00:00,3.6355
2019-03-14 00:00:00,3.6336
2019-03-13 00:00:00,3.6189
2019-03-12 00:00:00,3.6043
2019-03-11 00:00:00,3.5767
2019-03-08 00:00:00,3.5988
2019-03-07 00:00:00,3.6201
2019-03-06 00:00:00,3.6213
2019-03-05 00:00:00,3.6249
2019-03-04 00:00:00,3.6247
2019-03-01 00:00:00,3.6177
2019-02-28 00:00:00,3.6193
2019-02-27 00:00:00,3.6218
2019-02-26 00:00:00,3.6220
2019-02-22 00:00:00,3.5956
2019-02-21 00:00:00,3.5989
2019-02-20 00:00:00,3.5905
2019-02-18 00:00:00,3.5764
2019-02-15 00:00:00,3.5653
2019-02-14 00:00:00,3.5671
2019-02-13 00:00:00,3.5546
2019-02-12 00:00:00,3.5359
2019-02-11 00:00:00,3.5265
2019-07-15 00:00:00,3.7995
2019-07-12 00:00:00,3.7961
2019-07-11 00:00:00,3.7925
2019-07-10 00:00:00,3.7768
2019-07-09 00:00:00,3.7827
2019-07-08 00:00:00,3.7907
2019-07-05 00:00:00,3.8098
2019-07-04 00:00:00,3.8054
2019-07-03 00:00:00,3.7875
2019-07-02 00:00:00,3.7804
2019-07-01 00:00:00,3.7605
2019-06-27 00:00:00,3.7446
2019-06-26 00:00:00,3.7588
2019-06-25 00:00:00,3.7669
2019-06-24 00:00:00,3.7671
2019-06-21 00:00:00,3.7721
2019-06-20 00:00:00,3.7371
2019-06-19 00:00:00,3.7242
2019-06-18 00:00:00,3.7014
2019-06-17 00:00:00,3.6991
2019-06-14 00:00:00,3.7074
2019-06-13 00:00:00,3.7058
2019-06-11 00:00:00,3.7079
2019-06-10 00:00:00,3.6928
2019-06-07 00:00:00,3.6634
2019-06-04 00:00:00,3.6127
2019-06-03 00:00:00,3.6172
2019-05-31 00:00:00,3.6286
2019-05-30 00:00:00,3.6237
2019-05-29 00:00:00,3.6545
2019-05-28 00:00:00,3.6486
2019-05-27 00:00:00,3.6485
2019-05-24 00:00:00,3.6404
2019-05-23 00:00:00,3.6664
2019-05-22 00:00:00,3.6617
2019-05-21 00:00:00,3.6510
2019-05-17 00:00:00,3.6850
