Date,Fund Value
2019-01-16 00:00:00,3.7633
2019-02-08 00:00:00,3.8483
2019-02-07 00:00:00,3.8558
2019-02-06 00:00:00,3.8474
2019-02-04 00:00:00,3.8449
2019-02-01 00:00:00,3.8605
2019-01-31 00:00:00,3.8195
2019-01-30 00:00:00,3.8053
2019-01-29 00:00:00,3.8218
2019-01-28 00:00:00,3.8259
2019-01-25 00:00:00,3.8281
2019-01-24 00:00:00,3.8312
2019-01-23 00:00:00,3.8072
2019-01-22 00:00:00,3.8131
2019-01-21 00:00:00,3.8079
2019-01-18 00:00:00,3.8166
2019-01-17 00:00:00,3.7824
2019-01-15 00:00:00,3.8059
2019-01-14 00:00:00,3.8087
2019-01-11 00:00:00,3.7776
2019-01-10 00:00:00,3.7998
2019-01-09 00:00:00,3.7808
2019-01-08 00:00:00,3.7214
2019-01-07 00:00:00,3.7469
2019-01-04 00:00:00,3.7381
2019-01-03 00:00:00,3.7153
2019-01-02 00:00:00,3.6605
2018-12-27 00:00:00,3.6542
2018-12-26 00:00:00,3.6428
2018-12-21 00:00:00,3.6502
2018-12-20 00:00:00,3.6779
2018-12-19 00:00:00,3.6857
2018-12-14 00:00:00,3.6700
2018-12-13 00:00:00,3.6736
2018-12-12 00:00:00,3.6678
2018-12-11 00:00:00,3.6615
2018-12-10 00:00:00,3.6327
2018-12-07 00:00:00,3.6672
2019-04-26 00:00:00,3.8465
2019-04-25 00:00:00,3.8539
2019-04-24 00:00:00,3.8322
2019-04-23 00:00:00,3.8185
2019-04-22 00:00:00,3.8233
2019-04-17 00:00:00,3.8272
2019-04-16 00:00:00,3.8187
2019-04-15 00:00:00,3.8150
2019-04-12 00:00:00,3.8427
2019-04-11 00:00:00,3.8635
2019-04-10 00:00:00,3.8748
2019-04-08 00:00:00,3.8527
2019-04-05 00:00:00,3.8400
2019-04-04 00:00:00,3.8326
2019-04-03 00:00:00,3.8453
2019-04-02 00:00:00,3.8460
2019-04-01 00:00:00,3.8324
2019-03-29 00:00:00,3.8611
2019-03-28 00:00:00,3.8512
2019-03-27 00:00:00,3.8407
2019-03-26 00:00:00,3.8521
2019-03-25 00:00:00,3.8333
2019-03-22 00:00:00,3.8785
2019-03-21 00:00:00,3.8628
2019-03-20 00:00:00,3.8357
2019-03-19 00:00:00,3.8286
2019-03-18 00:00:00,3.8344
2019-03-15 00:00:00,3.8138
2019-03-14 00:00:00,3.7958
2019-03-13 00:00:00,3.8031
2019-03-12 00:00:00,3.8011
2019-03-11 00:00:00,3.7894
2019-03-08 00:00:00,3.8067
2019-03-07 00:00:00,3.8297
2019-03-06 00:00:00,3.8083
2019-03-05 00:00:00,3.7607
2019-03-04 00:00:00,3.7587
2019-03-01 00:00:00,3.7474
2019-02-28 00:00:00,3.7688
2019-02-27 00:00:00,3.8137
2019-02-26 00:00:00,3.8434
2019-02-22 00:00:00,3.8338
2019-02-21 00:00:00,3.8259
2019-02-20 00:00:00,3.8259
2019-02-18 00:00:00,3.8165
2019-02-15 00:00:00,3.8046
2019-02-14 00:00:00,3.8290
2019-02-13 00:00:00,3.8072
2019-02-12 00:00:00,3.8316
2019-02-11 00:00:00,3.8456
2019-07-15 00:00:00,4.0138
2019-07-12 00:00:00,3.9558
2019-07-11 00:00:00,3.9558
2019-07-10 00:00:00,3.9263
