Date,Fund Value
2019-01-16 00:00:00,2.8010
2019-02-08 00:00:00,2.8295
2019-02-07 00:00:00,2.8326
2019-02-06 00:00:00,2.8345
2019-02-04 00:00:00,2.8306
2019-02-01 00:00:00,2.8280
2019-01-31 00:00:00,2.8213
2019-01-30 00:00:00,2.8157
2019-01-29 00:00:00,2.8149
2019-01-28 00:00:00,2.8140
2019-01-25 00:00:00,2.8127
2019-01-24 00:00:00,2.8126
2019-01-23 00:00:00,2.8123
2019-01-22 00:00:00,2.8125
2019-01-21 00:00:00,2.8091
2019-01-18 00:00:00,2.8087
2019-01-17 00:00:00,2.8075
2019-01-15 00:00:00,2.8007
2019-01-14 00:00:00,2.7986
2019-01-11 00:00:00,2.7910
2019-01-10 00:00:00,2.7870
2019-01-09 00:00:00,2.7816
2019-01-08 00:00:00,2.7767
2019-01-07 00:00:00,2.7744
2019-01-04 00:00:00,2.7733
2019-01-03 00:00:00,2.7697
2019-01-02 00:00:00,2.7671
2018-12-27 00:00:00,2.7647
2018-12-26 00:00:00,2.7616
2018-12-21 00:00:00,2.7609
2018-12-20 00:00:00,2.7635
2018-12-19 00:00:00,2.7630
2018-12-14 00:00:00,2.7627
2018-12-13 00:00:00,2.7626
2018-12-12 00:00:00,2.7648
2018-12-11 00:00:00,2.7654
2018-12-10 00:00:00,2.7668
2018-12-07 00:00:00,2.7666
2019-04-26 00:00:00,2.8860
2019-04-25 00:00:00,2.8863
2019-04-24 00:00:00,2.8814
2019-04-23 00:00:00,2.8779
2019-04-22 00:00:00,2.8778
2019-04-17 00:00:00,2.8776
2019-04-16 00:00:00,2.8769
2019-04-15 00:00:00,2.8806
2019-04-12 00:00:00,2.8806
2019-04-11 00:00:00,2.8809
2019-04-10 00:00:00,2.8825
2019-04-08 00:00:00,2.8822
2019-04-05 00:00:00,2.8816
2019-04-04 00:00:00,2.8842
2019-04-03 00:00:00,2.8810
2019-04-02 00:00:00,2.8854
2019-04-01 00:00:00,2.8860
2019-03-29 00:00:00,2.8878
2019-03-28 00:00:00,2.8901
2019-03-27 00:00:00,2.8784
2019-03-26 00:00:00,2.8675
2019-03-25 00:00:00,2.8627
2019-03-22 00:00:00,2.8590
2019-03-21 00:00:00,2.8603
2019-03-20 00:00:00,2.8526
2019-03-19 00:00:00,2.8511
2019-03-18 00:00:00,2.8492
2019-03-15 00:00:00,2.8437
2019-03-14 00:00:00,2.8436
2019-03-13 00:00:00,2.8452
