Date,Fund Value
2019-01-16 00:00:00,0.9489
2019-02-08 00:00:00,0.9735
2019-02-07 00:00:00,0.9763
2019-02-06 00:00:00,0.9764
2019-02-04 00:00:00,0.9748
2019-02-01 00:00:00,0.9775
2019-01-31 00:00:00,0.9670
2019-01-30 00:00:00,0.9610
2019-01-29 00:00:00,0.9650
2019-01-28 00:00:00,0.9680
2019-01-25 00:00:00,0.9688
2019-01-24 00:00:00,0.9698
2019-01-23 00:00:00,0.9633
2019-01-22 00:00:00,0.9660
2019-01-21 00:00:00,0.9641
2019-01-18 00:00:00,0.9656
2019-01-17 00:00:00,0.9542
2019-01-15 00:00:00,0.9613
2019-01-14 00:00:00,0.9617
2019-01-11 00:00:00,0.9545
2019-01-10 00:00:00,0.9603
2019-01-09 00:00:00,0.9539
2019-01-08 00:00:00,0.9391
2019-01-07 00:00:00,0.9490
2019-01-04 00:00:00,0.9456
2019-01-03 00:00:00,0.9393
2019-01-02 00:00:00,0.9247
2018-12-27 00:00:00,0.9212
2018-12-26 00:00:00,0.9209
2018-12-21 00:00:00,0.9231
2018-12-20 00:00:00,0.9306
2018-12-19 00:00:00,0.9330
2018-12-14 00:00:00,0.9266
2018-12-13 00:00:00,0.9287
2018-12-12 00:00:00,0.9264
2018-12-11 00:00:00,0.9271
2018-12-10 00:00:00,0.9201
2018-12-07 00:00:00,0.9284
2019-04-26 00:00:00,0.9802
2019-04-25 00:00:00,0.9819
2019-04-24 00:00:00,0.9765
2019-04-23 00:00:00,0.9738
2019-04-22 00:00:00,0.9748
2019-04-17 00:00:00,0.9723
2019-04-16 00:00:00,0.9614
2019-04-15 00:00:00,0.9726
2019-04-12 00:00:00,0.9798
2019-04-11 00:00:00,0.9849
2019-04-10 00:00:00,0.9857
2019-04-08 00:00:00,0.9819
2019-04-05 00:00:00,0.9782
2019-04-04 00:00:00,0.9759
2019-04-03 00:00:00,0.9800
2019-04-02 00:00:00,0.9817
2019-04-01 00:00:00,0.9796
2019-03-29 00:00:00,0.9880
2019-03-28 00:00:00,0.9837
2019-03-27 00:00:00,0.9792
2019-03-26 00:00:00,0.9814
2019-03-25 00:00:00,0.9756
2019-03-22 00:00:00,0.9862
2019-03-21 00:00:00,0.9838
2019-03-20 00:00:00,0.9774
2019-03-19 00:00:00,0.9750
2019-03-18 00:00:00,0.9745
2019-03-15 00:00:00,0.9697
2019-03-14 00:00:00,0.9629
2019-03-13 00:00:00,0.9644
2019-03-12 00:00:00,0.9630
2019-03-11 00:00:00,0.9607
2019-03-08 00:00:00,0.9645
2019-03-07 00:00:00,0.9707
2019-03-06 00:00:00,0.9674
2019-03-05 00:00:00,0.9519
2019-03-04 00:00:00,0.9515
2019-03-01 00:00:00,0.9490
2019-02-28 00:00:00,0.9546
2019-02-27 00:00:00,0.9637
2019-02-26 00:00:00,0.9725
2019-02-22 00:00:00,0.9726
2019-02-21 00:00:00,0.9698
2019-02-20 00:00:00,0.9683
2019-02-18 00:00:00,0.9680
2019-02-15 00:00:00,0.9613
2019-02-14 00:00:00,0.9673
2019-02-13 00:00:00,0.9619
2019-02-12 00:00:00,0.9676
2019-02-11 00:00:00,0.9721
2019-07-15 00:00:00,1.0308
2019-07-12 00:00:00,1.0173
2019-07-11 00:00:00,1.0179
2019-07-10 00:00:00,1.0079
2019-07-09 00:00:00,1.0051
2019-07-08 00:00:00,1.0048
2019-07-05 00:00:00,1.0093
2019-07-04 00:00:00,1.0071
2019-07-03 00:00:00,1.0082
2019-07-02 00:00:00,1.0081
2019-07-01 00:00:00,1.0051
2019-06-27 00:00:00,1.0037
2019-06-26 00:00:00,1.0020
2019-06-25 00:00:00,1.0040
2019-06-24 00:00:00,1.0061
2019-06-21 00:00:00,1.0049
2019-06-20 00:00:00,1.0030
2019-06-19 00:00:00,1.0011
2019-06-18 00:00:00,0.9937
2019-06-17 00:00:00,0.9939
2019-06-14 00:00:00,1.0010
