Date,Fund Value
2019-01-16 00:00:00,4.2270
2019-02-08 00:00:00,4.3518
2019-02-07 00:00:00,4.3629
2019-02-06 00:00:00,4.3469
2019-02-04 00:00:00,4.3443
2019-02-01 00:00:00,4.3751
2019-01-31 00:00:00,4.3072
2019-01-30 00:00:00,4.2869
2019-01-29 00:00:00,4.3171
2019-01-28 00:00:00,4.3256
2019-01-25 00:00:00,4.3295
2019-01-24 00:00:00,4.3340
2019-01-23 00:00:00,4.2920
2019-01-22 00:00:00,4.3030
2019-01-21 00:00:00,4.2984
2019-01-18 00:00:00,4.3158
2019-01-17 00:00:00,4.2563
2019-01-15 00:00:00,4.3035
2019-01-14 00:00:00,4.3102
2019-01-11 00:00:00,4.2619
2019-01-10 00:00:00,4.3038
2019-01-09 00:00:00,4.2742
2019-01-08 00:00:00,4.1758
2019-01-07 00:00:00,4.2227
2019-01-04 00:00:00,4.2081
2019-01-03 00:00:00,4.1698
2019-01-02 00:00:00,4.0753
2018-12-27 00:00:00,4.0643
2018-12-26 00:00:00,4.0482
2018-12-21 00:00:00,4.0615
2018-12-20 00:00:00,4.1080
2018-12-19 00:00:00,4.1212
2018-12-14 00:00:00,4.0918
2018-12-13 00:00:00,4.0977
2018-12-12 00:00:00,4.0855
2018-12-11 00:00:00,4.0762
2018-12-10 00:00:00,4.0244
2018-12-07 00:00:00,4.0848
2019-04-26 00:00:00,4.3195
2019-04-25 00:00:00,4.3319
2019-04-24 00:00:00,4.2959
2019-04-23 00:00:00,4.2747
2019-04-22 00:00:00,4.2810
2019-04-17 00:00:00,4.2888
2019-04-16 00:00:00,4.2738
2019-04-15 00:00:00,4.2640
2019-04-12 00:00:00,4.3077
2019-04-11 00:00:00,4.3445
2019-04-10 00:00:00,4.3613
2019-04-08 00:00:00,4.3219
2019-04-05 00:00:00,4.3004
2019-04-04 00:00:00,4.2854
2019-04-03 00:00:00,4.3115
2019-04-02 00:00:00,4.3099
2019-04-01 00:00:00,4.2880
2019-03-29 00:00:00,4.3372
2019-03-28 00:00:00,4.3144
2019-03-27 00:00:00,4.2981
2019-03-26 00:00:00,4.3245
2019-03-25 00:00:00,4.2943
2019-03-22 00:00:00,4.3742
2019-03-21 00:00:00,4.3464
2019-03-20 00:00:00,4.3051
2019-03-19 00:00:00,4.2930
2019-03-18 00:00:00,4.3045
2019-03-15 00:00:00,4.2716
2019-03-14 00:00:00,4.2404
2019-03-13 00:00:00,4.2526
2019-03-12 00:00:00,4.2473
2019-03-11 00:00:00,4.2262
2019-03-08 00:00:00,4.2619
2019-03-07 00:00:00,4.3040
2019-03-06 00:00:00,4.2684
2019-03-05 00:00:00,4.1887
2019-03-04 00:00:00,4.1885
2019-03-01 00:00:00,4.1682
2019-02-28 00:00:00,4.2071
2019-02-27 00:00:00,4.2865
2019-02-26 00:00:00,4.3355
2019-02-22 00:00:00,4.3218
2019-02-21 00:00:00,4.3083
2019-02-20 00:00:00,4.3108
2019-02-18 00:00:00,4.2943
2019-02-15 00:00:00,4.2761
2019-02-14 00:00:00,4.3189
2019-02-13 00:00:00,4.2794
2019-02-12 00:00:00,4.3231
2019-02-11 00:00:00,4.3488
2019-07-15 00:00:00,4.5538
2019-07-12 00:00:00,4.4540
2019-07-11 00:00:00,4.4554
2019-07-10 00:00:00,4.4069
2019-07-09 00:00:00,4.3915
2019-07-08 00:00:00,4.3951
2019-07-05 00:00:00,4.4272
2019-07-04 00:00:00,4.4078
2019-07-03 00:00:00,4.4206
2019-07-02 00:00:00,4.4202
2019-07-01 00:00:00,4.3981
2019-06-27 00:00:00,4.3987
2019-06-26 00:00:00,4.3758
2019-06-25 00:00:00,4.3856
2019-06-24 00:00:00,4.4084
2019-06-21 00:00:00,4.4056
2019-06-20 00:00:00,4.3853
2019-06-19 00:00:00,4.3793
2019-06-18 00:00:00,4.3355
2019-06-17 00:00:00,4.3415
2019-06-14 00:00:00,4.3750
2019-06-13 00:00:00,4.4072
2019-06-11 00:00:00,4.3963
2019-06-10 00:00:00,4.4047
2019-06-07 00:00:00,4.3709
2019-06-04 00:00:00,4.3575
2019-06-03 00:00:00,4.4189
2019-05-31 00:00:00,4.3581
2019-05-30 00:00:00,4.2927
2019-05-29 00:00:00,4.2726
2019-05-28 00:00:00,4.2605
2019-05-27 00:00:00,4.2452
2019-05-24 00:00:00,4.2498
2019-05-23 00:00:00,4.2774
2019-05-22 00:00:00,4.2879
2019-05-21 00:00:00,4.2450
2019-05-17 00:00:00,4.1904
2019-05-16 00:00:00,4.1343
2019-05-15 00:00:00,4.1926
2019-05-14 00:00:00,4.2197
2019-05-10 00:00:00,4.2664
2019-05-09 00:00:00,4.2671
2019-05-08 00:00:00,4.3409
2019-05-07 00:00:00,4.3410
2019-05-06 00:00:00,4.3088
2019-05-03 00:00:00,4.3674
2019-05-02 00:00:00,4.3700
2019-04-30 00:00:00,4.3542
2019-04-29 00:00:00,4.3258
2019-09-27 00:00:00,4.2380
2019-09-26 00:00:00,4.2777
2019-09-25 00:00:00,4.2792
2019-09-24 00:00:00,4.2775
2019-09-23 00:00:00,4.2603
2019-09-20 00:00:00,4.2580
2019-09-19 00:00:00,4.2874
2019-09-18 00:00:00,4.2799
2019-09-17 00:00:00,4.2892
2019-09-16 00:00:00,4.3314
2019-09-13 00:00:00,4.3270
2019-09-12 00:00:00,4.3103
2019-09-11 00:00:00,4.3200
2019-09-10 00:00:00,4.3046
2019-09-09 00:00:00,4.3261
2019-09-06 00:00:00,4.3166
2019-09-05 00:00:00,4.2995
2019-09-04 00:00:00,4.2701
2019-09-03 00:00:00,4.2497
2019-09-02 00:00:00,4.3072
2019-08-30 00:00:00,4.3341
2019-08-29 00:00:00,4.3002
2019-08-28 00:00:00,4.2876
2019-08-27 00:00:00,4.2386
2019-08-23 00:00:00,4.3114
2019-08-22 00:00:00,4.2955
2019-08-20 00:00:00,4.3285
2019-08-19 00:00:00,4.3456
2019-08-16 00:00:00,4.2894
2019-08-15 00:00:00,4.2906
2019-08-14 00:00:00,4.3037
2019-08-13 00:00:00,4.2710
2019-08-09 00:00:00,4.3186
2019-08-08 00:00:00,4.3445
2019-08-07 00:00:00,4.3551
2019-08-06 00:00:00,4.2749
2019-08-05 00:00:00,4.3298
2019-08-02 00:00:00,4.4510
2019-08-01 00:00:00,4.4385
2019-07-30 00:00:00,4.4638
2019-07-29 00:00:00,4.4780
2019-07-26 00:00:00,4.4780
2019-07-25 00:00:00,4.5132
2019-07-24 00:00:00,4.4611
2019-07-23 00:00:00,4.5078
2019-07-22 00:00:00,4.5044
2019-07-19 00:00:00,4.5182
2019-07-18 00:00:00,4.5090
2019-07-17 00:00:00,4.4959
2019-07-16 00:00:00,4.5069
2019-12-13 00:00:00,${phpEquityFundVal}
2019-12-12 00:00:00,4.1624
2019-12-11 00:00:00,4.1952
2019-12-10 00:00:00,4.1838
2019-12-09 00:00:00,4.2011
2019-12-05 00:00:00,4.2099
2019-12-04 00:00:00,4.2259
2019-12-02 00:00:00,4.2656
2019-11-29 00:00:00,4.1922
2019-11-28 00:00:00,4.2035
2019-11-27 00:00:00,4.2342
2019-11-25 00:00:00,4.1928
2019-11-22 00:00:00,4.2183
2019-11-21 00:00:00,4.2184
2019-11-19 00:00:00,4.2677
2019-11-18 00:00:00,4.2488
2019-11-15 00:00:00,4.2791
2019-11-14 00:00:00,4.2809
2019-11-13 00:00:00,4.2832
2019-11-12 00:00:00,4.3114
2019-11-11 00:00:00,4.3139
2019-11-08 00:00:00,4.3469
2019-11-07 00:00:00,4.3555
2019-11-06 00:00:00,4.3302
2019-11-05 00:00:00,4.4290
2019-11-04 00:00:00,4.3560
2019-10-31 00:00:00,4.3142
2019-10-30 00:00:00,4.3427
2019-10-29 00:00:00,4.3225
2019-10-28 00:00:00,4.3000
2019-10-25 00:00:00,4.2839
2019-10-24 00:00:00,4.3001
2019-10-23 00:00:00,4.2840
2019-10-22 00:00:00,4.2974
2019-10-21 00:00:00,4.2710
2019-10-18 00:00:00,4.2689
2019-10-17 00:00:00,4.2844
2019-10-16 00:00:00,4.2794
2019-10-15 00:00:00,4.2475
2019-10-14 00:00:00,4.2662
2019-10-11 00:00:00,4.2476
2019-10-10 00:00:00,4.2064
2019-10-09 00:00:00,4.1575
2019-10-08 00:00:00,4.1930
2019-10-07 00:00:00,4.1612
2019-10-04 00:00:00,4.1700
2019-10-03 00:00:00,4.0908
2019-10-02 00:00:00,4.1346
2019-10-01 00:00:00,4.1961
2019-09-30 00:00:00,4.2211
2020-03-04 00:00:00,3.6747
2020-03-03 00:00:00,3.6356
2020-03-02 00:00:00,3.6130
2020-02-28 00:00:00,3.6298
2020-02-27 00:00:00,3.7286
2020-02-26 00:00:00,3.6922
2020-02-24 00:00:00,3.8331
2020-02-21 00:00:00,3.9247
2020-02-20 00:00:00,3.9483
2020-02-19 00:00:00,3.9303
2020-02-18 00:00:00,3.8990
2020-02-17 00:00:00,3.8992
2020-02-14 00:00:00,3.8786
2020-02-13 00:00:00,3.9443
2020-02-12 00:00:00,3.9373
2020-02-11 00:00:00,3.9636
2020-02-10 00:00:00,3.9588
2020-02-07 00:00:00,${phpEquityFundVal}
2020-02-06 00:00:00,3.9936
2020-02-05 00:00:00,3.9177
2020-02-04 00:00:00,3.8597
2020-02-03 00:00:00,3.8118
2020-01-31 00:00:00,3.8576
2020-01-30 00:00:00,3.9536
2020-01-29 00:00:00,3.9878
2020-01-28 00:00:00,3.9949
2020-01-27 00:00:00,4.0450
2020-01-24 00:00:00,4.0647
2020-01-23 00:00:00,4.0567
2020-01-22 00:00:00,3.9860
2020-01-21 00:00:00,3.9792
2020-01-20 00:00:00,4.0202
2020-01-17 00:00:00,4.1250
2020-01-16 00:00:00,4.0962
2020-01-14 00:00:00,4.1707
2020-01-10 00:00:00,4.1706
2020-01-09 00:00:00,4.1806
2020-01-08 00:00:00,4.1529
2020-01-07 00:00:00,4.2017
2020-01-06 00:00:00,4.1848
2020-01-03 00:00:00,4.2112
2020-01-02 00:00:00,4.1706
2019-12-27 00:00:00,4.2102
