Date,Fund Value
2019-01-16 00:00:00,1.5592
2019-02-08 00:00:00,1.5738
2019-02-07 00:00:00,1.5758
2019-02-06 00:00:00,1.5781
2019-02-04 00:00:00,1.5754
2019-02-01 00:00:00,1.5738
2019-01-31 00:00:00,1.5689
2019-01-30 00:00:00,1.5655
2019-01-29 00:00:00,1.5654
2019-01-28 00:00:00,1.5648
2019-01-25 00:00:00,1.5643
2019-01-24 00:00:00,1.5644
2019-01-23 00:00:00,1.5647
2019-01-22 00:00:00,1.5649
2019-01-21 00:00:00,1.5632
2019-01-18 00:00:00,1.5634
2019-01-17 00:00:00,1.5630
2019-01-15 00:00:00,1.5591
2019-01-14 00:00:00,1.5584
2019-01-11 00:00:00,1.5536
2019-01-10 00:00:00,1.5517
2019-01-09 00:00:00,1.5484
2019-01-08 00:00:00,1.5459
2019-01-07 00:00:00,1.5448
2019-01-04 00:00:00,1.5440
2019-01-03 00:00:00,1.5423
2019-01-02 00:00:00,1.5405
2018-12-27 00:00:00,1.5389
2018-12-26 00:00:00,1.5377
2018-12-21 00:00:00,1.5371
2018-12-20 00:00:00,1.5381
2018-12-19 00:00:00,1.5377
2018-12-14 00:00:00,1.5377
2018-12-13 00:00:00,1.5369
2018-12-12 00:00:00,1.5380
2018-12-11 00:00:00,1.5379
2018-12-10 00:00:00,1.5390
2018-12-07 00:00:00,1.5381
2019-04-26 00:00:00,1.5992
2019-04-25 00:00:00,1.5995
2019-04-24 00:00:00,1.5972
2019-04-23 00:00:00,1.5949
2019-04-22 00:00:00,1.5947
2019-04-17 00:00:00,1.5955
2019-04-16 00:00:00,1.5952
2019-04-15 00:00:00,1.5965
2019-04-12 00:00:00,1.5974
2019-04-11 00:00:00,1.5981
2019-04-10 00:00:00,1.5990
2019-04-08 00:00:00,1.5997
2019-04-05 00:00:00,1.6002
2019-04-04 00:00:00,1.6016
2019-04-03 00:00:00,1.5992
2019-04-02 00:00:00,1.6021
2019-04-01 00:00:00,1.6045
2019-03-29 00:00:00,1.6056
2019-03-28 00:00:00,1.6058
2019-03-27 00:00:00,1.5992
2019-03-26 00:00:00,1.5901
2019-03-25 00:00:00,1.5888
2019-03-22 00:00:00,1.5874
2019-03-21 00:00:00,1.5884
2019-03-20 00:00:00,1.5824
2019-03-19 00:00:00,1.5815
2019-03-18 00:00:00,1.5802
2019-03-15 00:00:00,1.5758
2019-03-14 00:00:00,1.5757
2019-03-13 00:00:00,1.5765
2019-03-12 00:00:00,1.5769
2019-03-11 00:00:00,1.5807
2019-03-08 00:00:00,1.5809
2019-03-07 00:00:00,1.5796
2019-03-06 00:00:00,1.5799
2019-03-05 00:00:00,1.5755
2019-03-04 00:00:00,1.5740
2019-03-01 00:00:00,1.5738
2019-02-28 00:00:00,1.5736
2019-02-27 00:00:00,1.5729
2019-02-26 00:00:00,1.5737
2019-02-22 00:00:00,1.5731
2019-02-21 00:00:00,1.5727
2019-02-20 00:00:00,1.5714
2019-02-18 00:00:00,1.5726
2019-02-15 00:00:00,1.5727
2019-02-14 00:00:00,1.5733
2019-02-13 00:00:00,1.5734
2019-02-12 00:00:00,1.5726
2019-02-11 00:00:00,1.5728
2019-07-15 00:00:00,1.6499
2019-07-12 00:00:00,1.6479
2019-07-11 00:00:00,1.6477
2019-07-10 00:00:00,1.6441
2019-07-09 00:00:00,1.6448
2019-07-08 00:00:00,1.6467
2019-07-05 00:00:00,1.6481
2019-07-04 00:00:00,1.6481
2019-07-03 00:00:00,1.6474
2019-07-02 00:00:00,1.6449
2019-07-01 00:00:00,1.6431
2019-06-27 00:00:00,1.6435
2019-06-26 00:00:00,1.6426
2019-06-25 00:00:00,1.6459
2019-06-24 00:00:00,1.6416
2019-06-21 00:00:00,1.6389
2019-06-20 00:00:00,1.6409
2019-06-19 00:00:00,1.6392
2019-06-18 00:00:00,1.6373
2019-06-17 00:00:00,1.6340
2019-06-14 00:00:00,1.6348
2019-06-13 00:00:00,1.6362
2019-06-11 00:00:00,1.6348
2019-06-10 00:00:00,1.6410
2019-06-07 00:00:00,1.6324
2019-06-04 00:00:00,1.6267
2019-06-03 00:00:00,1.6226
2019-05-31 00:00:00,1.6183
2019-05-30 00:00:00,1.6155
2019-05-29 00:00:00,1.6172
2019-05-28 00:00:00,1.6149
2019-05-27 00:00:00,1.6129
2019-05-24 00:00:00,1.6115
2019-05-23 00:00:00,1.6098
2019-05-22 00:00:00,1.6081
2019-05-21 00:00:00,1.6077
2019-05-17 00:00:00,1.6067
2019-05-16 00:00:00,1.6087
2019-05-15 00:00:00,1.6081
2019-05-14 00:00:00,1.6080
2019-05-10 00:00:00,1.6073
2019-05-09 00:00:00,1.6090
2019-05-08 00:00:00,1.6061
2019-05-07 00:00:00,1.6058
2019-05-06 00:00:00,1.6061
2019-05-03 00:00:00,1.6043
2019-05-02 00:00:00,1.6038
2019-04-30 00:00:00,1.6004
2019-04-29 00:00:00,1.5996
2019-09-27 00:00:00,1.6724
2019-09-26 00:00:00,1.6712
2019-09-25 00:00:00,1.6711
2019-09-24 00:00:00,1.6689
2019-09-23 00:00:00,1.6678
2019-09-20 00:00:00,1.6662
2019-09-19 00:00:00,1.6687
2019-09-18 00:00:00,1.6717
2019-09-17 00:00:00,1.6697
2019-09-16 00:00:00,1.6641
2019-09-13 00:00:00,1.6726
2019-09-12 00:00:00,1.6647
2019-09-11 00:00:00,1.6605
2019-09-10 00:00:00,1.6685
2019-09-09 00:00:00,1.6750
2019-09-06 00:00:00,1.6765
2019-09-05 00:00:00,1.6796
2019-09-04 00:00:00,1.6807
2019-09-03 00:00:00,1.6801
2019-09-02 00:00:00,1.6811
2019-08-30 00:00:00,1.6823
2019-08-29 00:00:00,1.6839
2019-08-28 00:00:00,1.6827
2019-08-27 00:00:00,1.6800
2019-08-23 00:00:00,1.6799
2019-08-22 00:00:00,1.6815
2019-08-20 00:00:00,1.6801
2019-08-19 00:00:00,1.6806
2019-08-16 00:00:00,1.6816
2019-08-15 00:00:00,1.6831
2019-08-14 00:00:00,1.6828
2019-08-13 00:00:00,1.6879
2019-08-09 00:00:00,1.6850
2019-08-08 00:00:00,1.6779
2019-08-07 00:00:00,1.6743
2019-08-06 00:00:00,1.6711
2019-08-05 00:00:00,1.6720
2019-08-02 00:00:00,1.6711
2019-08-01 00:00:00,1.6664
2019-07-30 00:00:00,1.6620
2019-07-29 00:00:00,1.6620
2019-07-26 00:00:00,1.6613
2019-07-25 00:00:00,1.6645
2019-07-24 00:00:00,1.6626
2019-07-23 00:00:00,1.6593
2019-07-22 00:00:00,1.6565
2019-07-19 00:00:00,1.6543
2019-07-18 00:00:00,1.6531
2019-07-17 00:00:00,1.6526
2019-07-16 00:00:00,1.6526
2019-12-13 00:00:00,${gsFundVal}
2019-12-12 00:00:00,1.6908
2019-12-11 00:00:00,1.6908
2019-12-10 00:00:00,1.6890
2019-12-09 00:00:00,1.6858
2019-12-05 00:00:00,1.6853
2019-12-04 00:00:00,1.6851
2019-12-02 00:00:00,1.6807
2019-11-29 00:00:00,1.6800
2019-11-28 00:00:00,1.6787
2019-11-27 00:00:00,1.6786
2019-11-25 00:00:00,1.6806
2019-11-22 00:00:00,1.6802
2019-11-21 00:00:00,1.6825
2019-11-19 00:00:00,1.6818
2019-11-18 00:00:00,1.6807
2019-11-15 00:00:00,1.6802
2019-11-14 00:00:00,1.6805
2019-11-13 00:00:00,1.6800
2019-11-12 00:00:00,1.6802
2019-11-11 00:00:00,1.6833
2019-11-08 00:00:00,1.6843
2019-11-07 00:00:00,1.6871
2019-11-06 00:00:00,1.6872
2019-11-05 00:00:00,1.6896
2019-11-04 00:00:00,1.6885
2019-10-31 00:00:00,1.6870
2019-10-30 00:00:00,1.6865
2019-10-29 00:00:00,1.6869
2019-10-28 00:00:00,1.6851
2019-10-25 00:00:00,1.6842
2019-10-24 00:00:00,1.6820
2019-10-23 00:00:00,1.6817
2019-10-22 00:00:00,1.6796
2019-10-21 00:00:00,1.6803
2019-10-18 00:00:00,1.6831
2019-10-17 00:00:00,1.6817
2019-10-16 00:00:00,1.6808
2019-10-15 00:00:00,1.6785
2019-10-14 00:00:00,1.6739
