Date,Fund Value
2019-01-16 00:00:00,1.0045
2019-02-08 00:00:00,1.0297
2019-02-07 00:00:00,1.0334
2019-02-06 00:00:00,1.0281
2019-02-04 00:00:00,1.0296
2019-02-01 00:00:00,1.0392
2019-01-31 00:00:00,1.0219
2019-01-30 00:00:00,1.0186
2019-01-29 00:00:00,1.0275
2019-01-28 00:00:00,1.0280
2019-01-25 00:00:00,1.0282
2019-01-24 00:00:00,1.0297
2019-01-23 00:00:00,1.0202
2019-01-22 00:00:00,1.0226
2019-01-21 00:00:00,1.0226
2019-01-18 00:00:00,1.0277
2019-01-17 00:00:00,1.0124
2019-01-15 00:00:00,1.0236
2019-01-14 00:00:00,1.0249
2019-01-11 00:00:00,1.0098
2019-01-10 00:00:00,1.0203
2019-01-09 00:00:00,1.0120
2019-01-08 00:00:00,0.9842
2019-01-07 00:00:00,0.9951
2019-01-04 00:00:00,0.9919
2019-01-03 00:00:00,0.9818
2019-01-02 00:00:00,0.9572
2018-12-27 00:00:00,0.9565
2018-12-26 00:00:00,0.9524
2018-12-21 00:00:00,0.9562
2018-12-20 00:00:00,0.9669
2018-12-19 00:00:00,0.9690
2018-12-14 00:00:00,0.9618
2018-12-13 00:00:00,0.9617
2018-12-12 00:00:00,0.9574
2018-12-11 00:00:00,0.9527
2018-12-10 00:00:00,0.9398
2018-12-07 00:00:00,0.9542
2019-04-26 00:00:00,1.0089
2019-04-25 00:00:00,1.0122
2019-04-24 00:00:00,1.0062
2019-04-23 00:00:00,1.0007
2019-04-22 00:00:00,1.0023
2019-04-17 00:00:00,1.0028
2019-04-16 00:00:00,1.0018
2019-04-15 00:00:00,0.9968
2019-04-12 00:00:00,1.0087
2019-04-11 00:00:00,1.0182
2019-04-10 00:00:00,1.0249
2019-04-08 00:00:00,1.0132
2019-04-05 00:00:00,1.0080
2019-04-04 00:00:00,1.0056
2019-04-03 00:00:00,1.0106
2019-04-02 00:00:00,1.0086
2019-04-01 00:00:00,1.0035
2019-03-29 00:00:00,1.0130
2019-03-28 00:00:00,1.0074
2019-03-27 00:00:00,1.0052
2019-03-26 00:00:00,1.0110
2019-03-25 00:00:00,1.0055
2019-03-22 00:00:00,1.0247
2019-03-21 00:00:00,1.0174
2019-03-20 00:00:00,1.0052
2019-03-19 00:00:00,1.0034
2019-03-18 00:00:00,1.0065
2019-03-15 00:00:00,0.9958
2019-03-14 00:00:00,0.9895
2019-03-13 00:00:00,0.9916
2019-03-12 00:00:00,0.9893
2019-03-11 00:00:00,0.9844
2019-03-08 00:00:00,0.9953
2019-03-07 00:00:00,1.0056
2019-03-06 00:00:00,0.9979
2019-03-05 00:00:00,0.9789
2019-03-04 00:00:00,0.9795
2019-03-01 00:00:00,0.9754
2019-02-28 00:00:00,0.9834
2019-02-27 00:00:00,1.0066
2019-02-26 00:00:00,1.0192
2019-02-22 00:00:00,1.0155
2019-02-21 00:00:00,1.0117
2019-02-20 00:00:00,1.0127
2019-02-18 00:00:00,1.0090
2019-02-15 00:00:00,1.0090
2019-02-14 00:00:00,1.0195
2019-02-13 00:00:00,1.0105
2019-02-12 00:00:00,1.0220
2019-02-11 00:00:00,1.0285
2019-07-15 00:00:00,1.0732
2019-07-12 00:00:00,1.0448
2019-07-11 00:00:00,1.0465
2019-07-10 00:00:00,1.0368
2019-07-09 00:00:00,1.0323
2019-07-08 00:00:00,1.0335
2019-07-05 00:00:00,1.0421
2019-07-04 00:00:00,1.0354
2019-07-03 00:00:00,1.0390
2019-07-02 00:00:00,1.0391
2019-07-01 00:00:00,1.0326
2019-06-27 00:00:00,1.0345
2019-06-26 00:00:00,1.0290
2019-06-25 00:00:00,1.0312
2019-06-24 00:00:00,1.0346
2019-06-21 00:00:00,1.0341
2019-06-20 00:00:00,1.0300
2019-06-19 00:00:00,1.0294
2019-06-18 00:00:00,1.0173
2019-06-17 00:00:00,1.0157
2019-06-14 00:00:00,1.0258
2019-06-13 00:00:00,1.0337
2019-06-11 00:00:00,1.0309
2019-06-10 00:00:00,1.0327
2019-06-07 00:00:00,1.0250
2019-06-04 00:00:00,1.0201
2019-06-03 00:00:00,1.0380
2019-05-31 00:00:00,1.0235
2019-05-30 00:00:00,1.0065
2019-05-29 00:00:00,1.0016
2019-05-28 00:00:00,0.9970
2019-05-27 00:00:00,0.9925
2019-05-24 00:00:00,0.9954
2019-05-23 00:00:00,1.0022
2019-05-22 00:00:00,1.0036
2019-05-21 00:00:00,0.9918
2019-05-17 00:00:00,0.9743
2019-05-16 00:00:00,0.9606
2019-05-15 00:00:00,0.9735
2019-05-14 00:00:00,0.9822
2019-05-10 00:00:00,0.9945
2019-05-09 00:00:00,0.9962
2019-05-08 00:00:00,1.0179
2019-05-07 00:00:00,1.0159
2019-05-06 00:00:00,1.0098
2019-05-03 00:00:00,1.0221
2019-05-02 00:00:00,1.0256
2019-04-30 00:00:00,1.0194
2019-04-29 00:00:00,1.0124
2019-09-27 00:00:00,1.0030
2019-09-26 00:00:00,1.0129
2019-09-25 00:00:00,1.0129
2019-09-24 00:00:00,1.0128
2019-09-23 00:00:00,1.0094
2019-09-20 00:00:00,1.0100
2019-09-19 00:00:00,1.0151
2019-09-18 00:00:00,1.0157
2019-09-17 00:00:00,1.0180
2019-09-16 00:00:00,1.0263
2019-09-13 00:00:00,1.0258
2019-09-12 00:00:00,1.0197
2019-09-11 00:00:00,1.0226
2019-09-10 00:00:00,1.0177
2019-09-09 00:00:00,1.0216
2019-09-06 00:00:00,1.0184
2019-09-05 00:00:00,1.0139
2019-09-04 00:00:00,1.0066
2019-09-03 00:00:00,1.0021
2019-09-02 00:00:00,1.0167
2019-08-30 00:00:00,1.0246
2019-08-29 00:00:00,1.0135
2019-08-28 00:00:00,1.0078
2019-08-27 00:00:00,0.9951
2019-08-23 00:00:00,1.0133
2019-08-22 00:00:00,1.0082
2019-08-20 00:00:00,1.0127
2019-08-19 00:00:00,1.0185
2019-08-16 00:00:00,1.0004
2019-08-15 00:00:00,1.0046
2019-08-14 00:00:00,1.0084
2019-08-13 00:00:00,0.9992
2019-08-09 00:00:00,1.0077
2019-08-08 00:00:00,1.0154
2019-08-07 00:00:00,1.0158
2019-08-06 00:00:00,0.9966
2019-08-05 00:00:00,1.0124
2019-08-02 00:00:00,1.0428
2019-08-01 00:00:00,1.0388
