Date,Fund Value
2019-01-16 00:00:00,1.2211
2019-02-08 00:00:00,1.2240
2019-02-07 00:00:00,1.2239
2019-02-06 00:00:00,1.2237
2019-02-04 00:00:00,1.2235
2019-02-01 00:00:00,1.2231
2019-01-31 00:00:00,1.2230
2019-01-30 00:00:00,1.2230
2019-01-29 00:00:00,1.2228
2019-01-28 00:00:00,1.2227
2019-01-25 00:00:00,1.2223
2019-01-24 00:00:00,1.2222
2019-01-23 00:00:00,1.2220
2019-01-22 00:00:00,1.2219
2019-01-21 00:00:00,1.2218
2019-01-18 00:00:00,1.2214
2019-01-17 00:00:00,1.2212
2019-01-15 00:00:00,1.2210
2019-01-14 00:00:00,1.2208
2019-01-11 00:00:00,1.2204
2019-01-10 00:00:00,1.2203
2019-01-09 00:00:00,1.2201
2019-01-08 00:00:00,1.2200
2019-01-07 00:00:00,1.2199
2019-01-04 00:00:00,1.2195
2019-01-03 00:00:00,1.2193
2019-01-02 00:00:00,1.2192
2018-12-27 00:00:00,1.2186
2018-12-26 00:00:00,1.2185
2018-12-21 00:00:00,1.2178
2018-12-20 00:00:00,1.2177
2018-12-19 00:00:00,1.2176
2018-12-14 00:00:00,1.2170
2018-12-13 00:00:00,1.2169
2018-12-12 00:00:00,1.2167
2018-12-11 00:00:00,1.2166
2018-12-10 00:00:00,1.2165
2018-12-07 00:00:00,1.2161
2019-04-26 00:00:00,1.2353
2019-04-25 00:00:00,1.2352
2019-04-24 00:00:00,1.2351
2019-04-23 00:00:00,1.2349
2019-04-22 00:00:00,1.2348
2019-04-17 00:00:00,1.2341
2019-04-16 00:00:00,1.2339
2019-04-15 00:00:00,1.2337
2019-04-12 00:00:00,1.2333
2019-04-11 00:00:00,1.2332
2019-04-10 00:00:00,1.2330
2019-04-08 00:00:00,1.2327
2019-04-05 00:00:00,1.2323
2019-04-04 00:00:00,1.2321
2019-04-03 00:00:00,1.2320
2019-04-02 00:00:00,1.2318
2019-04-01 00:00:00,1.2316
2019-03-29 00:00:00,1.2313
2019-03-28 00:00:00,1.2311
2019-03-27 00:00:00,1.2309
2019-03-26 00:00:00,1.2308
2019-03-25 00:00:00,1.2306
2019-03-22 00:00:00,1.2302
2019-03-21 00:00:00,1.2301
2019-03-20 00:00:00,1.2297
2019-03-19 00:00:00,1.2296
2019-03-18 00:00:00,1.2294
2019-03-15 00:00:00,1.2290
2019-03-14 00:00:00,1.2289
2019-03-13 00:00:00,1.2288
2019-03-12 00:00:00,1.2287
2019-03-11 00:00:00,1.2282
2019-03-08 00:00:00,1.2279
2019-03-07 00:00:00,1.2278
2019-03-06 00:00:00,1.2277
2019-03-05 00:00:00,1.2275
2019-03-04 00:00:00,1.2273
2019-03-01 00:00:00,1.2269
2019-02-28 00:00:00,1.2268
2019-02-27 00:00:00,1.2265
2019-02-26 00:00:00,1.2263
2019-02-22 00:00:00,1.2259
2019-02-21 00:00:00,1.2258
2019-02-20 00:00:00,1.2256
2019-02-18 00:00:00,1.2253
2019-02-15 00:00:00,1.2250
2019-02-14 00:00:00,1.2248
2019-02-13 00:00:00,1.2247
2019-02-12 00:00:00,1.2245
2019-02-11 00:00:00,1.2244
2019-07-15 00:00:00,1.2467
2019-07-12 00:00:00,1.2464
2019-07-11 00:00:00,1.2462
2019-07-10 00:00:00,1.2461
2019-07-09 00:00:00,1.2460
2019-07-08 00:00:00,1.2458
2019-07-05 00:00:00,1.2454
2019-07-04 00:00:00,1.2453
2019-07-03 00:00:00,1.2451
2019-07-02 00:00:00,1.2450
2019-07-01 00:00:00,1.2448
2019-06-27 00:00:00,1.2443
2019-06-26 00:00:00,1.2438
2019-06-25 00:00:00,1.2437
2019-06-24 00:00:00,1.2435
2019-06-21 00:00:00,1.2431
2019-06-20 00:00:00,1.2430
2019-06-19 00:00:00,1.2428
2019-06-18 00:00:00,1.2427
2019-06-17 00:00:00,1.2425
2019-06-14 00:00:00,1.2421
2019-06-13 00:00:00,1.2420
