Date,Fund Value
2019-01-16 00:00:00,1.0170
2019-02-08 00:00:00,1.0185
2019-02-07 00:00:00,1.0185
2019-02-06 00:00:00,1.0184
2019-02-04 00:00:00,1.0182
2019-02-01 00:00:00,1.0180
2019-01-31 00:00:00,1.0180
2019-01-30 00:00:00,1.0180
2019-01-29 00:00:00,1.0179
2019-01-28 00:00:00,1.0178
2019-01-25 00:00:00,1.0176
2019-01-24 00:00:00,1.0175
2019-01-23 00:00:00,1.0175
2019-01-22 00:00:00,1.0174
2019-01-21 00:00:00,1.0173
2019-01-18 00:00:00,1.0171
2019-01-17 00:00:00,1.0171
2019-01-15 00:00:00,1.0169
2019-01-14 00:00:00,1.0168
2019-01-11 00:00:00,1.0166
2019-01-10 00:00:00,1.0166
2019-01-09 00:00:00,1.0165
2019-01-08 00:00:00,1.0164
2019-01-07 00:00:00,1.0163
2019-01-04 00:00:00,1.0162
2019-01-03 00:00:00,1.0161
2019-01-02 00:00:00,1.0160
2018-12-27 00:00:00,1.0156
2018-12-26 00:00:00,1.0157
2018-12-21 00:00:00,1.0155
2018-12-20 00:00:00,1.0154
2018-12-19 00:00:00,1.0154
2018-12-14 00:00:00,1.0152
2018-12-13 00:00:00,1.0152
2018-12-12 00:00:00,1.0152
2018-12-11 00:00:00,1.0151
2018-12-10 00:00:00,1.0151
2018-12-07 00:00:00,1.0150
2019-04-26 00:00:00,1.0240
2019-04-25 00:00:00,1.0239
2019-04-24 00:00:00,1.0239
2019-04-23 00:00:00,1.0238
2019-04-22 00:00:00,1.0237
2019-04-17 00:00:00,1.0234
2019-04-16 00:00:00,1.0233
2019-04-15 00:00:00,1.0233
2019-04-12 00:00:00,1.0230
2019-04-11 00:00:00,1.0230
2019-04-10 00:00:00,1.0229
2019-04-08 00:00:00,1.0228
2019-04-05 00:00:00,1.0225
2019-04-04 00:00:00,1.0225
2019-04-03 00:00:00,1.0224
2019-04-02 00:00:00,1.0223
2019-04-01 00:00:00,1.0222
2019-03-29 00:00:00,1.0221
2019-03-28 00:00:00,1.0220
2019-03-27 00:00:00,1.0219
2019-03-26 00:00:00,1.0219
2019-03-25 00:00:00,1.0218
2019-03-22 00:00:00,1.0216
2019-03-21 00:00:00,1.0215
2019-03-20 00:00:00,1.0214
2019-03-19 00:00:00,1.0214
2019-03-18 00:00:00,1.0213
2019-03-15 00:00:00,1.0211
2019-03-14 00:00:00,1.0210
2019-03-13 00:00:00,1.0210
2019-03-12 00:00:00,1.0209
2019-03-11 00:00:00,1.0208
2019-03-08 00:00:00,1.0206
2019-03-07 00:00:00,1.0206
2019-03-06 00:00:00,1.0206
2019-03-05 00:00:00,1.0205
2019-03-04 00:00:00,1.0204
2019-03-01 00:00:00,1.0202
2019-02-28 00:00:00,1.0201
2019-02-27 00:00:00,1.0199
2019-02-26 00:00:00,1.0198
2019-02-22 00:00:00,1.0195
2019-02-21 00:00:00,1.0195
2019-02-20 00:00:00,1.0194
2019-02-18 00:00:00,1.0192
2019-02-15 00:00:00,1.0190
2019-02-14 00:00:00,1.0189
2019-02-13 00:00:00,1.0189
2019-02-12 00:00:00,1.0188
2019-02-11 00:00:00,1.0187
2019-07-15 00:00:00,1.0290
2019-07-12 00:00:00,1.0289
2019-07-11 00:00:00,1.0288
2019-07-10 00:00:00,1.0287
2019-07-09 00:00:00,1.0287
2019-07-08 00:00:00,1.0286
2019-07-05 00:00:00,1.0284
2019-07-04 00:00:00,1.0284
2019-07-03 00:00:00,1.0283
2019-07-02 00:00:00,1.0282
2019-07-01 00:00:00,1.0282
2019-06-27 00:00:00,1.0280
2019-06-26 00:00:00,1.0279
2019-06-25 00:00:00,1.0279
2019-06-24 00:00:00,1.0278
2019-06-21 00:00:00,1.0276
2019-06-20 00:00:00,1.0275
2019-06-19 00:00:00,1.0274
2019-06-18 00:00:00,1.0274
2019-06-17 00:00:00,1.0273
2019-06-14 00:00:00,1.0271
2019-06-13 00:00:00,1.0271
2019-06-11 00:00:00,1.0269
2019-06-10 00:00:00,1.0268
2019-06-07 00:00:00,1.0266
2019-06-04 00:00:00,1.0264
2019-06-03 00:00:00,1.0264
2019-05-31 00:00:00,1.0262
2019-05-30 00:00:00,1.0262
2019-05-29 00:00:00,1.0261
2019-05-28 00:00:00,1.0261
2019-05-27 00:00:00,1.0260
2019-05-24 00:00:00,1.0258
2019-05-23 00:00:00,1.0258
2019-05-22 00:00:00,1.0257
2019-05-21 00:00:00,1.0256
2019-05-17 00:00:00,1.0254
2019-05-16 00:00:00,1.0253
2019-05-15 00:00:00,1.0252
2019-05-14 00:00:00,1.0252
2019-05-10 00:00:00,1.0249
2019-05-09 00:00:00,1.0249
2019-05-08 00:00:00,1.0248
2019-05-07 00:00:00,1.0247
2019-05-06 00:00:00,1.0247
2019-05-03 00:00:00,1.0245
2019-05-02 00:00:00,1.0244
2019-04-30 00:00:00,1.0243
2019-04-29 00:00:00,1.0242
2019-09-27 00:00:00,1.0329
2019-09-26 00:00:00,1.0329
2019-09-25 00:00:00,1.0328
2019-09-24 00:00:00,1.0328
2019-09-23 00:00:00,1.0327
2019-09-20 00:00:00,1.0326
2019-09-19 00:00:00,1.0325
2019-09-18 00:00:00,1.0325
2019-09-17 00:00:00,1.0324
2019-09-16 00:00:00,1.0324
2019-09-13 00:00:00,1.0322
2019-09-12 00:00:00,1.0322
2019-09-11 00:00:00,1.0321
2019-09-10 00:00:00,1.0321
2019-09-09 00:00:00,1.0320
2019-09-06 00:00:00,1.0319
2019-09-05 00:00:00,1.0319
2019-09-04 00:00:00,1.0318
2019-09-03 00:00:00,1.0318
2019-09-02 00:00:00,1.0317
2019-08-30 00:00:00,1.0316
2019-08-29 00:00:00,1.0316
2019-08-28 00:00:00,1.0315
2019-08-27 00:00:00,1.0315
2019-08-23 00:00:00,1.0311
2019-08-22 00:00:00,1.0311
2019-08-20 00:00:00,1.0310
2019-08-19 00:00:00,1.0309
2019-08-16 00:00:00,1.0308
2019-08-15 00:00:00,1.0307
2019-08-14 00:00:00,1.0306
2019-08-13 00:00:00,1.0306
2019-08-09 00:00:00,1.0304
2019-08-08 00:00:00,1.0303
2019-08-07 00:00:00,1.0303
2019-08-06 00:00:00,1.0302
2019-08-05 00:00:00,1.0301
2019-08-02 00:00:00,1.0300
