Date,Fund Value
2019-01-16 00:00:00,1.1665
2019-02-08 00:00:00,1.2096
2019-02-07 00:00:00,1.2209
2019-02-06 00:00:00,1.2223
2019-02-04 00:00:00,1.2099
2019-02-01 00:00:00,1.2084
2019-01-31 00:00:00,1.1936
2019-01-30 00:00:00,1.1854
2019-01-29 00:00:00,1.1857
2019-01-28 00:00:00,1.1935
2019-01-25 00:00:00,1.1815
2019-01-24 00:00:00,1.1794
2019-01-23 00:00:00,1.1826
2019-01-22 00:00:00,1.1891
2019-01-21 00:00:00,1.1878
2019-01-18 00:00:00,1.1748
2019-01-17 00:00:00,1.1716
2019-01-15 00:00:00,1.1565
2019-01-14 00:00:00,1.1632
2019-01-11 00:00:00,1.1627
2019-01-10 00:00:00,1.1609
2019-01-09 00:00:00,1.1510
2019-01-08 00:00:00,1.1399
2019-01-07 00:00:00,1.1246
2019-01-04 00:00:00,1.1064
2019-01-03 00:00:00,1.1165
2019-01-02 00:00:00,1.1251
2018-12-27 00:00:00,1.0903
2018-12-26 00:00:00,1.0905
2018-12-21 00:00:00,1.1132
2018-12-20 00:00:00,1.1358
2018-12-19 00:00:00,1.1356
2018-12-14 00:00:00,1.1773
2018-12-13 00:00:00,1.1814
2018-12-12 00:00:00,1.1703
2018-12-11 00:00:00,1.1620
2018-12-10 00:00:00,1.1792
2018-12-07 00:00:00,1.1787
2019-04-26 00:00:00,1.2972
2019-04-25 00:00:00,1.2983
2019-04-24 00:00:00,1.2963
2019-04-23 00:00:00,1.2886
2019-04-22 00:00:00,1.2877
2019-04-17 00:00:00,1.2928
2019-04-16 00:00:00,1.2922
2019-04-15 00:00:00,1.2910
2019-04-12 00:00:00,1.2864
2019-04-11 00:00:00,1.2861
2019-04-10 00:00:00,1.2855
2019-04-08 00:00:00,1.2837
2019-04-05 00:00:00,1.2815
2019-04-04 00:00:00,1.2838
2019-04-03 00:00:00,1.2770
2019-04-02 00:00:00,1.2705
2019-04-01 00:00:00,1.2620
2019-03-29 00:00:00,1.2542
2019-03-28 00:00:00,1.2530
2019-03-27 00:00:00,1.2570
2019-03-26 00:00:00,1.2498
2019-03-25 00:00:00,1.2593
2019-03-22 00:00:00,1.2700
2019-03-21 00:00:00,1.2657
2019-03-20 00:00:00,1.2688
2019-03-19 00:00:00,1.2642
2019-03-18 00:00:00,1.2591
2019-03-15 00:00:00,1.2548
2019-03-14 00:00:00,1.2532
2019-03-13 00:00:00,1.2465
2019-03-12 00:00:00,1.2386
2019-03-11 00:00:00,1.2272
2019-03-08 00:00:00,1.2381
2019-03-07 00:00:00,1.2487
2019-03-06 00:00:00,1.2504
2019-03-05 00:00:00,1.2527
2019-03-04 00:00:00,1.2523
2019-03-01 00:00:00,1.2484
2019-02-28 00:00:00,1.2491
2019-02-27 00:00:00,1.2503
2019-02-26 00:00:00,1.2509
2019-02-22 00:00:00,1.2394
2019-02-21 00:00:00,1.2410
2019-02-20 00:00:00,1.2372
2019-02-18 00:00:00,1.2309
2019-02-15 00:00:00,1.2255
2019-02-14 00:00:00,1.2260
2019-02-13 00:00:00,1.2204
2019-02-12 00:00:00,1.2098
2019-02-11 00:00:00,1.2058
2019-07-15 00:00:00,1.3244
2019-07-12 00:00:00,1.3230
2019-07-11 00:00:00,1.3195
2019-07-10 00:00:00,1.3122
2019-07-09 00:00:00,1.3146
2019-07-08 00:00:00,1.3191
2019-07-05 00:00:00,1.3257
2019-07-04 00:00:00,1.3225
2019-07-03 00:00:00,1.3156
2019-07-02 00:00:00,1.3108
2019-07-01 00:00:00,1.3003
2019-06-27 00:00:00,1.2924
2019-06-26 00:00:00,1.2980
2019-06-25 00:00:00,1.3046
2019-06-24 00:00:00,1.3063
2019-06-21 00:00:00,1.3071
2019-06-20 00:00:00,1.2939
2019-06-19 00:00:00,1.2859
2019-06-18 00:00:00,1.2761
2019-06-17 00:00:00,1.2748
2019-06-14 00:00:00,1.2785
2019-06-13 00:00:00,1.2784
2019-06-11 00:00:00,1.2782
2019-06-10 00:00:00,1.2697
2019-06-07 00:00:00,1.2568
2019-06-04 00:00:00,1.2303
2019-06-03 00:00:00,1.2361
2019-05-31 00:00:00,1.2419
2019-05-30 00:00:00,1.2408
2019-05-29 00:00:00,1.2549
2019-05-28 00:00:00,1.2536
2019-05-27 00:00:00,1.2528
2019-05-24 00:00:00,1.2522
2019-05-23 00:00:00,1.2647
2019-05-22 00:00:00,1.2613
2019-05-21 00:00:00,1.2573
2019-05-17 00:00:00,1.2726
2019-05-16 00:00:00,1.2606
2019-05-15 00:00:00,1.2541
2019-05-14 00:00:00,1.2543
2019-05-10 00:00:00,1.2683
2019-05-09 00:00:00,1.2783
2019-05-08 00:00:00,1.2858
2019-05-07 00:00:00,1.2958
2019-05-06 00:00:00,1.2996
2019-05-03 00:00:00,1.2944
2019-05-02 00:00:00,1.3027
2019-04-30 00:00:00,1.3035
2019-04-29 00:00:00,1.2987
2019-09-27 00:00:00,1.2884
2019-09-26 00:00:00,1.2847
2019-09-25 00:00:00,1.2948
2019-09-24 00:00:00,1.2952
2019-09-23 00:00:00,1.3020
2019-09-20 00:00:00,1.3043
2019-09-19 00:00:00,1.2992
2019-09-18 00:00:00,1.2994
2019-09-17 00:00:00,1.2975
2019-09-16 00:00:00,1.3039
2019-09-13 00:00:00,1.3031
2019-09-12 00:00:00,1.2934
2019-09-11 00:00:00,1.2869
2019-09-10 00:00:00,1.2979
2019-09-09 00:00:00,1.3035
2019-09-06 00:00:00,1.3011
2019-09-05 00:00:00,1.2859
2019-09-04 00:00:00,1.2751
2019-09-03 00:00:00,1.2823
2019-09-02 00:00:00,1.2830
2019-08-30 00:00:00,1.2785
2019-08-29 00:00:00,1.2650
2019-08-28 00:00:00,1.2691
2019-08-27 00:00:00,1.2649
2019-08-23 00:00:00,1.2826
2019-08-22 00:00:00,1.2855
2019-08-20 00:00:00,1.2796
2019-08-19 00:00:00,1.2660
2019-08-16 00:00:00,1.2565
2019-08-15 00:00:00,1.2613
2019-08-14 00:00:00,1.2788
2019-08-13 00:00:00,1.2743
2019-08-09 00:00:00,1.2843
2019-08-08 00:00:00,1.2616
2019-08-07 00:00:00,1.2615
2019-08-06 00:00:00,1.2637
2019-08-05 00:00:00,1.2886
2019-08-02 00:00:00,1.3107
2019-08-01 00:00:00,1.3159
2019-07-30 00:00:00,1.3267
2019-07-29 00:00:00,1.3291
2019-07-26 00:00:00,1.3261
2019-07-25 00:00:00,1.3263
2019-07-24 00:00:00,1.3233
2019-07-23 00:00:00,1.3196
2019-07-22 00:00:00,1.3228
2019-07-19 00:00:00,1.3186
2019-07-18 00:00:00,1.3220
2019-07-17 00:00:00,1.3258
2019-07-16 00:00:00,1.3273
2019-12-13 00:00:00,${dollarWorldVoyagerFund}
2019-12-12 00:00:00,1.3440
2019-12-11 00:00:00,1.3427
2019-12-10 00:00:00,1.3458
2019-12-09 00:00:00,1.3459
2019-12-05 00:00:00,1.3385
2019-12-04 00:00:00,1.3306
2019-12-02 00:00:00,1.3494
2019-11-29 00:00:00,1.3523
2019-11-28 00:00:00,1.3517
2019-11-27 00:00:00,1.3463
2019-11-25 00:00:00,1.3330
2019-11-22 00:00:00,1.3335
2019-11-21 00:00:00,1.3395
2019-11-19 00:00:00,1.3360
2019-11-18 00:00:00,1.3309
2019-11-15 00:00:00,1.3238
2019-11-14 00:00:00,1.3213
2019-11-13 00:00:00,1.3237
2019-11-12 00:00:00,1.3197
2019-11-11 00:00:00,1.3209
2019-11-08 00:00:00,1.3240
2019-11-07 00:00:00,1.3208
2019-11-06 00:00:00,1.3225
2019-11-05 00:00:00,1.3257
2019-11-04 00:00:00,1.3188
2019-10-31 00:00:00,1.3127
2019-10-30 00:00:00,1.3102
2019-10-29 00:00:00,1.3092
2019-10-28 00:00:00,1.3012
2019-10-25 00:00:00,1.2983
2019-10-24 00:00:00,1.2932
2019-10-23 00:00:00,1.2953
2019-10-22 00:00:00,1.2968
2019-10-21 00:00:00,1.2960
2019-10-18 00:00:00,1.3008
2019-10-17 00:00:00,1.2955
2019-10-16 00:00:00,1.2971
2019-10-15 00:00:00,1.2882
2019-10-14 00:00:00,1.2908
2019-10-11 00:00:00,1.2734
2019-10-10 00:00:00,1.2657
2019-10-09 00:00:00,1.2600
2019-10-08 00:00:00,1.2741
2019-10-07 00:00:00,1.2710
2019-10-04 00:00:00,1.2559
2019-10-03 00:00:00,1.2559
2019-10-02 00:00:00,1.2797
2019-10-01 00:00:00,1.2834
2019-09-30 00:00:00,1.2844
2020-03-04 00:00:00,1.3090
2020-03-03 00:00:00,1.3014
2020-03-02 00:00:00,1.2691
2020-02-28 00:00:00,1.3074
2020-02-27 00:00:00,1.3466
2020-02-26 00:00:00,1.3622
2020-02-24 00:00:00,1.4178
2020-02-21 00:00:00,1.4316
2020-02-20 00:00:00,1.4396
2020-02-19 00:00:00,1.4316
2020-02-18 00:00:00,1.4366
2020-02-17 00:00:00,1.4353
2020-02-14 00:00:00,1.4324
2020-02-13 00:00:00,1.4323
2020-02-12 00:00:00,1.4256
2020-02-11 00:00:00,1.4173
2020-02-10 00:00:00,1.4136
2020-02-07 00:00:00,${dollarWorldVoyagerFund}
2020-02-06 00:00:00,1.4137
2020-02-05 00:00:00,1.4052
2020-02-04 00:00:00,1.3860
2020-02-03 00:00:00,1.3840
2020-01-31 00:00:00,1.3900
2020-01-30 00:00:00,1.3974
2020-01-29 00:00:00,1.3948
2020-01-28 00:00:00,1.3901
2020-01-27 00:00:00,1.4122
2020-01-24 00:00:00,1.4111
2020-01-23 00:00:00,1.4194
2020-01-22 00:00:00,1.4135
2020-01-21 00:00:00,1.4174
2020-01-20 00:00:00,1.4173
2020-01-17 00:00:00,1.4109
2020-01-16 00:00:00,1.4052
2020-01-14 00:00:00,1.3998
2020-01-10 00:00:00,1.3932
2020-01-09 00:00:00,1.3835
2020-01-08 00:00:00,1.3825
2020-01-07 00:00:00,1.3799
2020-01-06 00:00:00,1.3808
2020-01-03 00:00:00,1.3859
2020-01-02 00:00:00,1.3753
2019-12-27 00:00:00,1.3720
2019-12-26 00:00:00,1.3711
2019-12-23 00:00:00,1.3691
2019-12-20 00:00:00,1.3629
2019-12-19 00:00:00,1.3605
2019-12-18 00:00:00,1.3621
2019-12-17 00:00:00,1.3609
2019-12-16 00:00:00,1.3523
2020-03-05 00:00:00,1.3263
