Date,Fund Value
2019-01-16 00:00:00,1.0363
2019-02-08 00:00:00,1.0564
2019-02-07 00:00:00,1.0603
2019-02-06 00:00:00,1.0598
2019-02-04 00:00:00,1.0559
2019-02-01 00:00:00,1.0556
2019-01-31 00:00:00,1.0488
2019-01-30 00:00:00,1.0446
2019-01-29 00:00:00,1.0445
2019-01-28 00:00:00,1.0468
2019-01-25 00:00:00,1.0423
2019-01-24 00:00:00,1.0419
2019-01-23 00:00:00,1.0414
2019-01-22 00:00:00,1.0432
2019-01-21 00:00:00,1.0433
2019-01-18 00:00:00,1.0387
2019-01-17 00:00:00,1.0375
2019-01-15 00:00:00,1.0327
2019-01-14 00:00:00,1.0342
2019-01-11 00:00:00,1.0346
2019-01-10 00:00:00,1.0328
2019-01-09 00:00:00,1.0283
2019-01-08 00:00:00,1.0243
2019-01-07 00:00:00,1.0189
2019-01-04 00:00:00,1.0118
2019-01-03 00:00:00,1.0144
2019-01-02 00:00:00,1.0168
2018-12-27 00:00:00,1.0056
2018-12-26 00:00:00,1.0059
2018-12-21 00:00:00,1.0132
2018-12-20 00:00:00,1.0201
2018-12-19 00:00:00,1.0198
2018-12-14 00:00:00,1.0315
2018-12-13 00:00:00,1.0317
2018-12-12 00:00:00,1.0281
2018-12-11 00:00:00,1.0264
2018-12-10 00:00:00,1.0311
2018-12-07 00:00:00,1.0305
2019-04-26 00:00:00,1.0925
2019-04-25 00:00:00,1.0938
2019-04-24 00:00:00,1.0930
2019-04-23 00:00:00,1.0900
2019-04-22 00:00:00,1.0901
2019-04-17 00:00:00,1.0916
2019-04-16 00:00:00,1.0920
2019-04-15 00:00:00,1.0916
2019-04-12 00:00:00,1.0907
2019-04-11 00:00:00,1.0904
2019-04-10 00:00:00,1.0892
2019-04-08 00:00:00,1.0873
2019-04-05 00:00:00,1.0868
2019-04-04 00:00:00,1.0871
2019-04-03 00:00:00,1.0850
2019-04-02 00:00:00,1.0841
2019-04-01 00:00:00,1.0823
2019-03-29 00:00:00,1.0796
2019-03-28 00:00:00,1.0796
2019-03-27 00:00:00,1.0804
2019-03-26 00:00:00,1.0780
2019-03-25 00:00:00,1.0797
2019-03-22 00:00:00,1.0838
2019-03-21 00:00:00,1.0802
2019-03-20 00:00:00,1.0811
2019-03-19 00:00:00,1.0795
2019-03-18 00:00:00,1.0781
2019-03-15 00:00:00,1.0753
2019-03-14 00:00:00,1.0747
2019-03-13 00:00:00,1.0717
2019-03-12 00:00:00,1.0691
2019-03-11 00:00:00,1.0644
2019-03-08 00:00:00,1.0670
2019-03-07 00:00:00,1.0703
2019-03-06 00:00:00,1.0709
2019-03-05 00:00:00,1.0712
2019-03-04 00:00:00,1.0720
2019-03-01 00:00:00,1.0709
2019-02-28 00:00:00,1.0716
2019-02-27 00:00:00,1.0717
2019-02-26 00:00:00,1.0714
2019-02-22 00:00:00,1.0664
2019-02-21 00:00:00,1.0671
2019-02-20 00:00:00,1.0656
2019-02-18 00:00:00,1.0634
2019-02-15 00:00:00,1.0607
2019-02-14 00:00:00,1.0612
2019-02-13 00:00:00,1.0592
2019-02-12 00:00:00,1.0558
2019-02-11 00:00:00,1.0548
2019-07-15 00:00:00,1.1150
2019-07-12 00:00:00,1.1150
2019-07-11 00:00:00,1.1151
2019-07-10 00:00:00,1.1127
2019-07-09 00:00:00,1.1138
2019-07-08 00:00:00,1.1158
2019-07-05 00:00:00,1.1206
2019-07-04 00:00:00,1.1201
2019-07-03 00:00:00,1.1156
2019-07-02 00:00:00,1.1137
2019-07-01 00:00:00,1.1117
2019-06-27 00:00:00,1.1080
2019-06-26 00:00:00,1.1114
2019-06-25 00:00:00,1.1123
2019-06-24 00:00:00,1.1117
2019-06-21 00:00:00,1.1128
2019-06-20 00:00:00,1.1043
2019-06-19 00:00:00,1.1018
2019-06-18 00:00:00,1.0974
2019-06-17 00:00:00,1.0969
2019-06-14 00:00:00,1.0981
2019-06-13 00:00:00,1.0980
2019-06-11 00:00:00,1.0987
2019-06-10 00:00:00,1.0969
2019-06-07 00:00:00,1.0909
2019-06-04 00:00:00,1.0808
2019-06-03 00:00:00,1.0810
2019-05-31 00:00:00,1.0820
2019-05-30 00:00:00,1.0813
2019-05-29 00:00:00,1.0856
2019-05-28 00:00:00,1.0843
2019-05-27 00:00:00,1.0842
2019-05-24 00:00:00,1.0815
2019-05-23 00:00:00,1.0854
2019-05-22 00:00:00,1.0849
2019-05-21 00:00:00,1.0834
2019-05-17 00:00:00,1.0895
2019-05-16 00:00:00,1.0848
2019-05-15 00:00:00,1.0826
2019-05-14 00:00:00,1.0809
2019-05-10 00:00:00,1.0854
2019-05-09 00:00:00,1.0891
2019-05-08 00:00:00,1.0896
2019-05-07 00:00:00,1.0942
2019-05-06 00:00:00,1.0951
2019-05-03 00:00:00,1.0928
2019-05-02 00:00:00,1.0966
2019-04-30 00:00:00,1.0956
2019-04-29 00:00:00,1.0941
2019-09-27 00:00:00,1.1130
2019-09-26 00:00:00,1.1127
2019-09-25 00:00:00,1.1166
2019-09-24 00:00:00,1.1157
2019-09-23 00:00:00,1.1158
2019-09-20 00:00:00,1.1163
2019-09-19 00:00:00,1.1144
2019-09-18 00:00:00,1.1126
2019-09-17 00:00:00,1.1110
2019-09-16 00:00:00,1.1142
2019-09-13 00:00:00,1.1162
2019-09-12 00:00:00,1.1127
2019-09-11 00:00:00,1.1138
2019-09-10 00:00:00,1.1199
2019-09-09 00:00:00,1.1233
2019-09-06 00:00:00,1.1232
2019-09-05 00:00:00,1.1200
2019-09-04 00:00:00,1.1165
2019-09-03 00:00:00,1.1174
2019-09-02 00:00:00,1.1188
2019-08-30 00:00:00,1.1184
2019-08-29 00:00:00,1.1159
2019-08-28 00:00:00,1.1160
2019-08-27 00:00:00,1.1135
2019-08-23 00:00:00,1.1161
2019-08-22 00:00:00,1.1176
2019-08-20 00:00:00,1.1140
2019-08-19 00:00:00,1.1117
2019-08-16 00:00:00,1.1089
2019-08-15 00:00:00,1.1095
2019-08-14 00:00:00,1.1144
2019-08-13 00:00:00,1.1128
2019-08-09 00:00:00,1.1142
2019-08-08 00:00:00,1.1100
2019-08-07 00:00:00,1.1065
2019-08-06 00:00:00,1.1055
2019-08-05 00:00:00,1.1107
2019-08-02 00:00:00,1.1140
2019-08-01 00:00:00,1.1146
2019-07-30 00:00:00,1.1181
2019-07-29 00:00:00,1.1189
2019-07-26 00:00:00,1.1184
2019-07-25 00:00:00,1.1186
2019-07-24 00:00:00,1.1157
2019-07-23 00:00:00,1.1157
2019-07-22 00:00:00,1.1161
2019-07-19 00:00:00,1.1153
2019-07-18 00:00:00,1.1151
2019-07-17 00:00:00,1.1154
2019-07-16 00:00:00,1.1168
2019-12-13 00:00:00,${dollarWellSpringFund}
2019-12-12 00:00:00,1.1170
2019-12-11 00:00:00,1.1163
2019-12-10 00:00:00,1.1171
2019-12-09 00:00:00,1.1161
2019-12-05 00:00:00,1.1151
2019-12-04 00:00:00,1.1115
2019-12-02 00:00:00,1.1175
2019-11-29 00:00:00,1.1179
2019-11-28 00:00:00,1.1179
2019-11-27 00:00:00,1.1168
2019-11-25 00:00:00,1.1126
2019-11-22 00:00:00,1.1133
2019-11-21 00:00:00,1.1150
2019-11-19 00:00:00,1.1133
2019-11-18 00:00:00,1.1114
2019-11-15 00:00:00,1.1085
2019-11-14 00:00:00,1.1066
2019-11-13 00:00:00,1.1065
2019-11-12 00:00:00,1.1060
2019-11-11 00:00:00,1.1064
2019-11-08 00:00:00,1.1094
2019-11-07 00:00:00,1.1097
2019-11-06 00:00:00,1.1110
2019-11-05 00:00:00,1.1145
2019-11-04 00:00:00,1.1135
2019-10-31 00:00:00,1.1095
2019-10-30 00:00:00,1.1081
2019-10-29 00:00:00,1.1080
2019-10-28 00:00:00,1.1078
2019-10-25 00:00:00,1.1077
2019-10-24 00:00:00,1.1071
2019-10-23 00:00:00,1.1075
2019-10-22 00:00:00,1.1076
2019-10-21 00:00:00,1.1083
2019-10-18 00:00:00,1.1089
2019-10-17 00:00:00,1.1069
2019-10-16 00:00:00,1.1077
2019-10-15 00:00:00,1.1057
2019-10-14 00:00:00,1.1064
2019-10-11 00:00:00,1.1033
2019-10-10 00:00:00,1.1024
2019-10-09 00:00:00,1.1023
2019-10-08 00:00:00,1.1114
2019-10-07 00:00:00,1.1106
2019-10-04 00:00:00,1.1052
2019-10-03 00:00:00,1.1038
2019-10-02 00:00:00,1.1086
2019-10-01 00:00:00,1.1100
2019-09-30 00:00:00,1.1108
2020-03-04 00:00:00,1.1221
2020-03-03 00:00:00,1.1159
2020-03-02 00:00:00,1.1063
2020-02-28 00:00:00,1.1213
2020-02-27 00:00:00,1.1319
2020-02-26 00:00:00,1.1374
2020-02-24 00:00:00,1.1504
2020-02-21 00:00:00,1.1530
2020-02-20 00:00:00,1.1546
2020-02-19 00:00:00,1.1524
2020-02-18 00:00:00,1.1533
2020-02-17 00:00:00,1.1527
2020-02-14 00:00:00,1.1515
2020-02-13 00:00:00,1.1513
2020-02-12 00:00:00,1.1495
2020-02-11 00:00:00,1.1464
2020-02-10 00:00:00,1.1449
2020-02-07 00:00:00,${dollarWellSpringFund}
2020-02-06 00:00:00,1.1441
2020-02-05 00:00:00,1.1423
2020-02-04 00:00:00,1.1375
2020-02-03 00:00:00,1.1377
2020-01-31 00:00:00,1.1380
2020-01-30 00:00:00,1.1395
2020-01-29 00:00:00,1.1381
2020-01-28 00:00:00,1.1359
2020-01-27 00:00:00,1.1424
2020-01-24 00:00:00,1.1416
2020-01-23 00:00:00,1.1434
2020-01-22 00:00:00,1.1409
2020-01-21 00:00:00,1.1416
2020-01-20 00:00:00,1.1415
2020-01-17 00:00:00,1.1398
2020-01-16 00:00:00,1.1383
2020-01-14 00:00:00,1.1355
2020-01-10 00:00:00,1.1327
2020-01-09 00:00:00,1.1314
2020-01-08 00:00:00,1.1319
2020-01-07 00:00:00,1.1316
2020-01-06 00:00:00,1.1312
2020-01-03 00:00:00,1.1316
2020-01-02 00:00:00,1.1285
2019-12-27 00:00:00,1.1250
2019-12-26 00:00:00,1.1248
2019-12-23 00:00:00,1.1244
2019-12-20 00:00:00,1.1228
2019-12-19 00:00:00,1.1223
2019-12-18 00:00:00,1.1230
2019-12-17 00:00:00,1.1234
2019-12-16 00:00:00,1.1194
2020-03-05 00:00:00,1.1284
2020-03-10 00:00:00,1.1022
2020-03-11 00:00:00,1.0926
2020-03-12 00:00:00,1.0835
2020-03-13 00:00:00,1.0490
2020-03-16 00:00:00,1.0366
2020-03-18 00:00:00,1.0080
2020-03-19 00:00:00,0.9830
2020-03-20 00:00:00,0.9628
2020-03-23 00:00:00,0.9606
2020-03-24 00:00:00,0.9456
2020-03-25 00:00:00,0.9601
2020-03-26 00:00:00,0.9732
2020-03-27 00:00:00,0.9920
2020-03-30 00:00:00,0.9985
2020-03-31 00:00:00,1.0046
2020-04-01 00:00:00,1.0099
2020-04-02 00:00:00,1.0000
2020-04-03 00:00:00,0.9955
2020-04-06 00:00:00,0.9960
2020-04-07 00:00:00,1.0045
2020-04-08 00:00:00,1.0160
2020-04-13 00:00:00,1.0298
2020-04-14 00:00:00,1.0297
2020-04-15 00:00:00,1.0450
2020-04-16 00:00:00,1.0437
2020-04-17 00:00:00,1.0465
2020-04-20 00:00:00,1.0536
2020-04-21 00:00:00,1.0540
2020-04-22 00:00:00,1.0465
2020-04-23 00:00:00,1.0461
2020-04-24 00:00:00,1.0488
2020-04-27 00:00:00,1.0486
2020-04-28 00:00:00,1.0546
2020-04-29 00:00:00,1.0568
2020-04-30 00:00:00,1.0624
2020-05-04 00:00:00,1.0628
2020-05-05 00:00:00,1.0554
2020-05-06 00:00:00,1.0590
2020-05-07 00:00:00,1.0574
2020-05-08 00:00:00,1.0619
2020-05-11 00:00:00,1.0650
2020-05-12 00:00:00,1.0660
2020-05-13 00:00:00,1.0673
2020-05-14 00:00:00,1.0659
